Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.4939,2017-12-02 20:35:01+00:00,0.0,0.862,0.138,A British police officer has been praised for grabbing hold of a van as it dangled on an icy bridge over a highway… https://t.co/th3z6BUIbj,1,@CBSNews
0.0,2017-12-02 20:15:01+00:00,0.0,1.0,0.0,More than 200 pounds of unclaimed contraband bologna was seized at U.S.-Mexico border this week:… https://t.co/uFHL9ZxYr4,2,@CBSNews
0.0,2017-12-02 19:55:01+00:00,0.0,1.0,0.0,The White House is finalizing plans for President Trump to announce that the U.S. will recognize Jerusalem as the c… https://t.co/eRtoIxExIv,3,@CBSNews
0.0,2017-12-02 19:35:01+00:00,0.0,1.0,0.0,"For more than 20 years, the band Spoon has been a staple of the indie rock circuit, blending rock, pop and punk:… https://t.co/C6pRhJVjWB",4,@CBSNews
0.2023,2017-12-02 18:55:02+00:00,0.092,0.777,0.131,An FBI agent suspected of sending anti-Trump texts has been removed from special counsel Robert Mueller's team… https://t.co/dSPLShCTBY,5,@CBSNews
0.5719,2017-12-02 18:35:00+00:00,0.0,0.802,0.198,"Andy Weir, the author of ""The Martian,"" is happy to remain an ""earthbound misfit""
https://t.co/Ka9b8nU6wq https://t.co/Mb4VFsySTC",6,@CBSNews
-0.7351,2017-12-02 18:15:01+00:00,0.246,0.754,0.0,"President Trump says he fired Michael Flynn because he lied to VP Pence and  FBI, insists there's ""nothing to hide""… https://t.co/ZPMroHl24z",7,@CBSNews
0.1779,2017-12-02 17:55:01+00:00,0.091,0.788,0.12,Missing Florida teenager who police said was with 27-year-old high school soccer coach has been found safe in New Y… https://t.co/88bxQJBDCM,8,@CBSNews
0.0,2017-12-02 17:35:01+00:00,0.0,1.0,0.0,"Tax reform bill: What's in the final version passed by the Senate early Saturday?
https://t.co/sbbMrAuxAE https://t.co/FQEPeIog5l",9,@CBSNews
-0.6124,2017-12-02 17:19:32+00:00,0.192,0.808,0.0,"NEW: President Trump speaks out on Michael Flynn, says he ""had to fire General Flynn because he lied to the Vice Pr… https://t.co/weVVAfOlHo",10,@CBSNews
0.0,2017-12-02 17:15:01+00:00,0.0,1.0,0.0,"This week, archaeologists unearthed part of one of the 21 sphinxes Cecil B. DeMille left behind after wrapping up f… https://t.co/rqTCpaOVux",11,@CBSNews
0.25,2017-12-02 16:55:02+00:00,0.0,0.9,0.1,"Proponents claim the Senate GOP tax plan would ""directly benefit"" all Americans, but how people would actually make… https://t.co/WDsQyA4T6H",12,@CBSNews
0.3612,2017-12-02 16:35:01+00:00,0.0,0.878,0.122,"Jesse Ventura and the estate of ""American Sniper"" author Chris Kyle agree to dismiss the former Minnesota governor'… https://t.co/jz7Xvf6MEC",13,@CBSNews
-0.5859,2017-12-02 16:15:01+00:00,0.202,0.798,0.0,"The remains of a missing Army veteran and her dog were found in a shallow grave after a tip from her ex-husband, po… https://t.co/btNUdTMfmx",14,@CBSNews
0.0,2017-12-02 15:55:02+00:00,0.0,1.0,0.0,"A white nationalist group set up a memorial for Kate Steinle near where she was shot, decorating it with flowers, c… https://t.co/6UQ8z9ot2Z",15,@CBSNews
-0.296,2017-12-02 15:35:55+00:00,0.128,0.872,0.0,The Senate narrowly passed Republicans' tax reform legislation early Saturday morning with no Democratic support:… https://t.co/0dtDL2AOs6,16,@CBSNews
-0.6478,2017-12-02 15:16:01+00:00,0.261,0.739,0.0,"President Trump reacts to Michael Flynn's guilty plea, says there was ""absolutely no collusion"" with Russia… https://t.co/uLOmLVfoX6",17,@CBSNews
0.0,2017-12-02 14:55:01+00:00,0.0,1.0,0.0,"The first baby born from a uterus transplant in the U.S. has been delivered in Texas:
https://t.co/5i0f6j2ZB7 https://t.co/c5y0gC69yQ",18,@CBSNews
-0.7579,2017-12-02 14:35:01+00:00,0.277,0.723,0.0,Investigators in North Carolina say a missing 3-year-old girl is believed to be dead; her mother's boyfriend has be… https://t.co/NgFAD6PWrb,19,@CBSNews
0.0,2017-12-02 14:15:02+00:00,0.0,1.0,0.0,The Senate narrowly passed Republicans' tax reform legislation just before 2 a.m. ET; the bill next heads to confer… https://t.co/VVY3UBSYiR,20,@CBSNews
-0.7906,2017-12-02 14:03:04+00:00,0.467,0.533,0.0,Report faults law enforcement at violent Charlottesville rally https://t.co/tUGOqLz7qj https://t.co/OReSE7oNoQ,21,@CBSNews
0.0772,2017-12-02 13:48:06+00:00,0.0,0.885,0.115,Feds want to seize Martin Shkreli's Wu-Tang Clan album https://t.co/GQIL3hPM7S https://t.co/I19hsoeiV5,22,@CBSNews
-0.8625,2017-12-02 13:38:32+00:00,0.361,0.639,0.0,Investigators in North Carolina say a missing 3-year-old girl is believed to be dead and have arrested a man in con… https://t.co/Cifh020qbl,23,@CBSNews
-0.5423,2017-12-02 13:33:05+00:00,0.409,0.438,0.153,Accusers face risks when violating nondisclosure agreements https://t.co/rfpfWPKXD0 https://t.co/YGtomyn5h5,24,@CBSNews
0.0,2017-12-02 13:18:08+00:00,0.0,1.0,0.0,Tesla turns on world's biggest lithium-ion battery https://t.co/2IhJx81HCz https://t.co/r54QPY4hBL,25,@CBSNews
-0.4215,2017-12-02 13:03:05+00:00,0.237,0.763,0.0,Ex-Oklahoma lawmaker pleads guilty to child sex trafficking https://t.co/UWmL2RvEgF https://t.co/xlq2gSjc0c,26,@CBSNews
-0.4753,2017-12-02 12:48:03+00:00,0.171,0.829,0.0,"Hecklers yell ""Lock him up!"" as Michael Flynn leaves courthouse after making guilty plea https://t.co/2oVFmijMJy https://t.co/P1iX721fVV",27,@CBSNews
-0.7579,2017-12-02 12:33:05+00:00,0.371,0.629,0.0,"Thieves steal toys, clothes, tools from Salvation Army warehouse in Baltimore https://t.co/0VpqHRR7K5 https://t.co/p1yf1Eq952",28,@CBSNews
0.5719,2017-12-02 12:18:08+00:00,0.0,0.802,0.198,"McDonald's manager who tipped cops off in Tampa slayings case to receive $110,000 reward https://t.co/ngUxzghA85 https://t.co/DRhXv13IOO",29,@CBSNews
0.0,2017-12-02 12:03:06+00:00,0.0,1.0,0.0,"Netflix announces third season of ""Stranger Things"" https://t.co/W1ylQbMSGf https://t.co/ZSCXUIWWz9",30,@CBSNews
-0.4019,2017-12-02 11:48:06+00:00,0.273,0.559,0.168,"Lung cancer drug targets ""hidden"" HIV in promising case https://t.co/AZrRvTrWZC https://t.co/BLS8d9hSMr",31,@CBSNews
-0.296,2017-12-02 11:33:05+00:00,0.18,0.82,0.0,Mariah Woods: Search continues for missing North Carolina 3-year-old https://t.co/TKC1eHwgVq https://t.co/AUO1LunHZO,32,@CBSNews
-0.25,2017-12-02 11:18:07+00:00,0.169,0.723,0.108,Former NSA employee pleads guilty to keeping top secret info at home https://t.co/AxZNwjWcjP https://t.co/KaBtYnPUR3,33,@CBSNews
0.4939,2017-12-02 11:03:05+00:00,0.0,0.789,0.211,Bitcoin exchange Coinbase ordered to hand over customer data to IRS https://t.co/ONnpG13i58 https://t.co/T1WXnJKJMh,34,@CBSNews
-0.0772,2017-12-02 10:48:05+00:00,0.18,0.659,0.162,American Airlines pilots to cover flights after glitch threatened holiday travel https://t.co/eyf4lSW0wX https://t.co/I8uL8UInx7,35,@CBSNews
-0.7964,2017-12-02 10:33:05+00:00,0.448,0.552,0.0,"Pelosi, DCCC chairman call for congressman accused of harassment to resign https://t.co/VNiRymB9M5 https://t.co/FmG1J5FArA",36,@CBSNews
0.3818,2017-12-02 10:18:07+00:00,0.0,0.822,0.178,Drug treatment court judge helps Minnesota woman turn her life around https://t.co/2vxLxQS0FB https://t.co/o2WbtOoBGf,37,@CBSNews
